application_id,discovered_at,company,sector,role,role_family,role_type,geography,logistics_status,channel,screening_decision,screening_reason,submitted_at,stage,status,status_updated_at,contact_person,fit_score,fit_label,notes,cv_file,cover_letter_file,source
app-20260705-elevenlabs-forward-deployed-engineer-software-engineer-spain-d8cbb347,2026-07-05,ElevenLabs,Voice AI,Forward Deployed Engineer - Software Engineer - Spain,forward_deployed,Full-time Remote,,,Ashby,qualified,,2026-07-05,submitted,SUBMITTED 2026-07-05,2026-07-05,,74,Good,"SUBMITTED. FDE at voice-AI leader; voice-agent hook (Bland AI + AgentSIM). Spain-tagged remote, no work-auth Q.",cv/main_elevenlabs.pdf,cover_letters/cover_elevenlabs_fde.pdf,https://jobs.ashbyhq.com/elevenlabs/7664e3c4-2336-4d1a-90cf-91d1268de10d/application
app-20260713-elevenlabs-enterprise-solutions-engineer-europe-3b601e78,2026-07-13,ElevenLabs,Voice AI,Enterprise Solutions Engineer - Europe,other,Full-time,,,Ashby,rejected,,,prospect,MANUAL APPLY - ASHBY SPAM BLOCKED,2026-07-13,,84,Strong,"Prepared and filled Ashby form with tailored CV. Required fields validated: name, email, location Estonia, resume upload, source Job board, GitHub, LinkedIn, and four custom answers. Submit returned possible-spam block after valid fields; do not bypass. Manual browser completion recommended. Strong fit: voice AI, ElevenAgents, customer integrations, Python/API implementation patterns, demos, docs, evals, observability, and secure agent workflows. Custom answers saved in documents/elevenlabs_solutions_engineer_application_answers.md. Evidence screenshot: /tmp/elevenlabs_se_after_submit.png",cv/main_elevenlabs_solutions_engineer.pdf,documents/elevenlabs_solutions_engineer_application_answers.md,https://jobs.ashbyhq.com/elevenlabs/4509df6f-b839-44d6-b31f-d7f364cec949
app-20260705-elevenlabs-enterprise-solutions-engineer-netherlands-fb216ad2,2026-07-05,ElevenLabs,Voice AI,Enterprise Solutions Engineer - Netherlands,other,Full-time,,,Ashby,pending,,,qualified,QUEUED (tailor next),2026-07-05,,,~70/100,"Customer-facing solutions eng, NL/EU.",,,https://jobs.ashbyhq.com/elevenlabs/3f10ccc9-56a9-40bf-b5f1-33ab5834ff4a
app-20260717-elevenlabs-infrastructure-security-engineer-badbef83,2026-07-17,ElevenLabs,Voice AI / Infrastructure security,Infrastructure Security Engineer,ai_security,Full-time Remote GMT-GMT+3,,,Ashby,rejected,,,prospect,MANUAL APPLY - ASHBY SPAM BLOCKED,2026-07-17,,72,Strategic,"Prepared and filled Ashby form with tailored security CV. Submit returned possible-spam block after all required fields validated; do not bypass. Manual browser completion recommended. Strong angle: production Python/TypeScript systems, SAST remediation, RBAC/auth, AI-system security, developer tooling, observability, evals, and regulated workflows. Honest gap: less explicit dedicated AWS/GCP + Kubernetes + Terraform + supply-chain-program ownership than posting requests. Answers used: location Estonia, source Job board, GitHub, LinkedIn, security-focused ElevenLabs motivation, AgentSIM impact story, 95.8% BackToBirth eval proof, explored ElevenLabs-style voice-agent work rather than production ElevenLabs deployment.",cv/main_elevenlabs_infrastructure_security.pdf,documents/elevenlabs_infrastructure_security_application_answers.md,https://jobs.ashbyhq.com/elevenlabs/687394d7-fbf8-49ed-822e-c0690191330c
app-20260713-dust-solutions-engineer-c86a75b2,2026-07-13,Dust,Agent platform,Solutions Engineer,other,Full-time,,,Ashby,qualified,,2026-07-13,closed,REJECTED 2026-07-20,2026-07-20,,78,Strong if Paris relocation acceptable,"Rejected by Dust hiring team on 2026-07-20 after review: impressed by background, but moved forward with candidates whose experience more closely matches the Solutions Engineer role. Original fit remains strong for AI operating system/custom agents/customer workflow scoping, but outcome suggests Dust wanted closer solutions-engineering or Dust-specific proof. Reapply only to a more implementation-heavy Applied AI/FDE role or with stronger Dust/open-source/community evidence.",cv/main_dust_solutions_engineer.pdf,documents/dust_solutions_engineer_application_answers.md,https://jobs.ashbyhq.com/dust/54d23ce3-f59f-447f-87a4-4549a6a8074f
app-20260717-poolside-member-of-security-corporate-technology-6f281462,2026-07-17,Poolside,Frontier AI / Codegen security,Member of Security (Corporate Technology),ai_security,Full-time,,,Ashby,qualified,,2026-07-17,submitted,SUBMITTED 2026-07-17,2026-07-17,,70,Strategic but imperfect,"SUBMITTED via Ashby. Role fit: remote EMEA/East Coast frontier AI lab, corporate technology owner, IAM/access lifecycle, onboarding/offboarding, audit controls, employee-facing security operations, AI-driven automation. Strong angle: security-minded AI/platform engineer who can automate access workflows, internal tooling, runbooks, metrics, and safe agent-driven operational security. Honest gap: CV does not show dedicated Okta/Jamf/EDR ownership; cover letter frames this as security/platform engineering strength rather than classic helpdesk-first corporate IT. Form values: name, email, LinkedIn/portfolio/GitHub, current location Tallinn Harju Estonia, tailored CV uploaded, cover letter pasted. Ashby success page confirmed.",cv/main_poolside_security_corporate_technology.pdf,documents/poolside_security_corporate_technology_application_answers.md,https://jobs.ashbyhq.com/poolside/97536454-0ca9-40b9-8b68-3d63a040286c
app-20260705-clera-founding-engineer-3m-pre-seed-c2d8abf7,2026-07-05,Clera,Recruiting AI,Founding Engineer ($3M pre-seed),other,Full-time,,,LinkedIn,rejected,,,prospect,SKIP (location),2026-07-05,,40,fail,In-person SF hackerhouse required.,,,https://www.linkedin.com/jobs/view/4435820129
app-20260705-kraken-payward-senior-software-engineer-frontend-pro-6eda25ba,2026-07-05,Kraken (Payward),Crypto exchange,Senior Software Engineer - Frontend - Pro,other,Full-time Remote,,,Ashby,qualified,,2026-07-05,submitted,CONFIRMED IN REVIEW 2026-07-06,2026-07-06,,80,Strong,"Confirmation email received 2026-07-06. Kraken says team will review qualifications and reach out if match. Prep requirement from email: read Kraken Culture Explained and dogfood Kraken apps; they refer back to culture doc frequently in interviews. Check spam folder. Frontend/fintech+crypto fit (Zing/Monese/prism). Estonia-eligible global-remote, no sponsorship. Strong AI-usage answer.",cv/main_kraken.pdf,cover_letters/cover_kraken_frontend.pdf,https://jobs.ashbyhq.com/kraken.com/aa04e385-a718-4630-ba2a-815ff2483ac8/application
app-20260705-alpha-signal-llc-backend-engineer-9bd49c01,2026-07-05,Alpha Signal LLC,AI media/intelligence,Backend Engineer,other,Full-time Remote,,,Gusto,qualified,,2026-07-05,submitted,SUBMITTED 2026-07-05,2026-07-05,,82,Strong,"SUBMITTED. Backend/AI-infra (scrapers->LLM enrichment->ranking->knowledge graph); maps to AgentLead+kb.ai. Remote $100-125k, no work-auth Q. Custom answers: incident story + paywall design.",cv/main_alphasignal.pdf,cover_letters/cover_alphasignal_backend.pdf,https://jobs.gusto.com/postings/alpha-signal-llc-backend-engineer-f9f9da28-334f-4637-8c80-5d2504577663
app-20260707-monogram-software-engineer-ai-interfaces-8f6ad17e,2026-07-07,Monogram,AI (visual interface),Software Engineer - AI Interfaces,other,Full-time On-site San Mateo,,,Direct (founder outreach),qualified,,2026-07-07,submitted,OUTREACH - READY TO SEND,2026-07-07,Eren Bali / Edouard Tabet / Murat Akbal,,~85 fit / long-shot logistics,No form; /hiring is a stub. Thematic bullseye: generative UI + privacy-first = React/agents + MSc Cyber. Blocker: San Mateo in-person + US visa sponsorship; iOS-first. Cold DM to founders (X @erenbali/@edouardtabet/@akbal_m; LinkedIn /in/muratakbal). Open to relocation. Draft in documents/monogram_outreach.md - your call to send.,cv/main_monogram.pdf,documents/monogram_outreach.md,https://www.monogram.ai/hiring
app-20260708-european-chatbot-agentic-ai-summit-speaker-proposal-production-agentic-ai-117a6b0c,2026-07-08,European Chatbot & Agentic AI Summit,Conference / Agentic AI,Speaker Proposal - Production Agentic AI,applied_ai,Speaker application,,,Microsoft Forms,qualified,,2026-07-08,submitted,SUBMITTED 2026-07-08,2026-07-08,,88,Strong,"SUBMITTED. Topic: Production Agentic AI: Evals, Memory, and Guardrails Beyond the Demo. Event March 16-18 2027 at Edinburgh University. Selected 15-20 min speaking section, interactive break-out, and panel discussion. Strategic credibility play for agentic AI/FDE/LLM infra roles.",,documents/european_chatbot_2027_speaker_application.md,https://theeuropeanchatbot.com/call-for-speakers/
app-20260708-general-intelligence-company-applied-ai-engineer-agent-9a2ed1f0,2026-07-08,General Intelligence Company,Agent platform,Applied AI Engineer - Agent,applied_ai,Full-time On-site New York,,,Ashby + direct outreach,qualified,,2026-07-08,submitted,OUTREACH SENT 2026-07-08,2026-07-08,Andrew Pignanelli / Abhishyant Khare,88,Strong,"Ashby form filled honestly (No US work authorization, Yes sponsorship required, location Tallinn) but submit returned possible spam. User sent founder/company outreach on 2026-07-08. Role fit: agent reliability, eval pipelines, tool orchestration, memory, RAG, observability. Comp $250-300K + 0.3-0.6%. If they ask for ATS completion, retry Ashby with a single portfolio link only.",cv/main_gic_applied_agent.pdf,cover_letters/cover_gic_applied_agent.pdf,https://jobs.ashbyhq.com/generalintelligencecompany/4bc5d479-3bba-432d-887f-423847aa650a
app-20260709-openai-ai-deployment-engineer-startups-45c10525,2026-07-09,OpenAI,Frontier AI / deployment,AI Deployment Engineer - Startups,forward_deployed,Full-time Hybrid Stockholm,,,Ashby,qualified,,2026-07-09,closed,REJECTED 2026-07-22,2026-07-22,,86,Strong,"Gmail confirmation received from OpenAI on 2026-07-12: application received and recruiting team will review for the applied role and similar roles. [INFERENCE] This likely corresponds to the AI Deployment Engineer - Startups application based on timing after the 2026-07-09 Ashby spam block; the OpenAI receipt did not name the role. Strong fit: startup customers, agent workflows, evals, model behavior feedback, product/research loop. Logistics: Stockholm hybrid and Swedish work authorization/sponsorship likely need honest discussion. Gmail rejection received 2026-07-22 from OpenAI Hiring Team: AI Deployment Engineer, Startups position has been filled and they will not move forward. This confirms the earlier unnamed OpenAI receipt maps to the Startups application. Forward Deployed Engineer - Stockholm remains a separate submitted OpenAI application.",cv/main_openai_startups.pdf,documents/openai_stockholm_application_answers.md,https://jobs.ashbyhq.com/openai/b76848b3-d545-40cc-b8b4-585501f09760/application
app-20260717-openai-forward-deployed-engineer-stockholm-31754761,2026-07-17,OpenAI,AI lab / Model deployment,Forward Deployed Engineer - Stockholm,forward_deployed,Full-time Hybrid Stockholm,,,Ashby,qualified,,2026-07-17,submitted,SUBMITTED 2026-07-17,2026-07-17,,82,Strong,"SUBMITTED via Ashby. Role fit: forward deployment, customer discovery/scoping, full-stack AI implementation, rollout, evals, traces, model behavior feedback, secure Python/TypeScript backends. Logistics: requires Sweden visa sponsorship; answered sponsorship Yes and Stockholm office three days/week Yes contingent on relocation. Start date entered 07/17/2026 because form required a date. Coding preference 65%. Additional info used FDE-specific motivation and examples: production agent workflows, eval-backed 95.8% F1 extraction over 141 docs, founder/operator customer-facing implementation, MCP/SDK/webhook/eval tooling. Updated CV source to include phone number before upload. Metric correction (2026-08-10): the earlier application wording ""95.8% F1 across 141 documents"" used the wrong denominator and omitted provenance. Verified published result: 95.79% field-level F1 on 87 evaluated documents; self-reported against model-derived annotations, with 47.13% exact-form accuracy and 3.03% false-accept rate.",cv/main_openai_fde_stockholm.pdf,documents/openai_stockholm_application_answers.md,https://jobs.ashbyhq.com/openai/580f9e7e-20cc-429c-877a-0b5f5233abdd/application
app-20260709-anaplan-senior-security-architect-product-security-028b225b,2026-07-09,Anaplan,Enterprise planning / product security,Senior Security Architect (Product Security),ai_security,Full-time London,,,Greenhouse,qualified,,2026-07-13,submitted,SUBMITTED 2026-07-13,2026-07-13,,76,Good,"Prepared package and submitted through Greenhouse after user supplied exact address and 8-character email verification code. Resume uploaded. Honest work auth: UK authorized No; sponsorship required Yes. Greenhouse confirmation URL loaded and displayed: Thank you for applying to Anaplan. Application Received. Role is product-security architecture, not core AI SWE, but overlaps with AI guardrails, agent authorization, OWASP LLM Top 10, threat modeling, RBAC, auditability, CoModeler/CoPlanner AI surface.",cv/main_anaplan_security_architect.pdf,documents/anaplan_security_architect_application_answers.md,https://job-boards.greenhouse.io/anaplan/jobs/8611274002
app-20260713-vertus-data-engineer-full-stack-developer-432e77dd,2026-07-13,Vertus,AI data infrastructure / intelligent systems,Data Engineer / Full-Stack Developer,other,Full-time Remote,,,LinkedIn,qualified,,2026-07-15,submitted,SUBMITTED 2026-07-15,2026-07-15,,77,Strong,"Gmail LinkedIn confirmation received 2026-07-15: application was sent to Vertus for Data Engineer / Full-Stack Developer. Strong lightweight target for AI data infrastructure: Python, TypeScript, PostgreSQL, Redis, APIs, scraping, vector search, knowledge graphs, internal tools, AI/ML data infrastructure. Caveat: role is listed Entry level and may underpay relative to FDE/Applied AI/Agent Engineer targets; company claims merit diligence.",cv/main_vertus_data_fullstack.pdf,documents/vertus_data_fullstack_application_answers.md,https://www.linkedin.com/jobs/view/4440963373/
app-20260713-stackblitz-bolt-new-senior-applied-ai-engineer-48ec8f83,2026-07-13,StackBlitz / Bolt.new,AI developer tools,Senior Applied AI Engineer,applied_ai,Full-time Remote,,,Greenhouse,qualified,,2026-07-16,submitted,SUBMITTED 2026-07-16,2026-07-16,,84,Strong,"Submitted manually after hCaptcha path. Gmail confirmation from Bolt.new received 2026-07-16: application received and will be reviewed. Strong match: developer agents, AI-native tooling, evals, full-stack product delivery, LLM providers, sub-agents, retrieval-based context, and productized AI workflows. Original automated submit attempt exposed hCaptcha; user reported manual completion on 2026-07-16.",cv/main_stackblitz_applied_ai.pdf,documents/batch_ai_platform_application_answers.md,https://job-boards.greenhouse.io/stackblitz/jobs/4005254009
app-20260713-coinspaid-ai-platform-engineer-5d88899e,2026-07-13,CoinsPaid,Fintech / internal AI platform,AI Platform Engineer,ai_platform,Full-time Remote - European Region,,,Lever,qualified,,2026-07-16,submitted,SUBMITTED 2026-07-16,2026-07-16,,81,Strong,"Prepared and filled Lever form with tailored CV. Submit attempt exposed hCaptcha; do not bypass. Answers used: current location Tallinn; work country Estonia; CET core hours Yes; availability ASAP; English C1; Russian do not speak; salary EUR110k-140k gross annual equivalent B2B; fintech/crypto experience Yes; production AI agents Yes. Strong match: internal AI agents, MCP/LangGraph, observability, secure APIs, fintech/security context. User reported manual application submitted on 2026-07-16 after previous status: MANUAL APPLY - HCAPTCHA.",cv/main_coinspaid_ai_platform.pdf,documents/batch_ai_platform_application_answers.md,https://jobs.eu.lever.co/coinspaid/02ff3024-4a69-435c-805c-6fdcf5e52356/apply
app-20260713-starbridge-ai-engineer-emea-latam-b3677060,2026-07-13,Starbridge,GTM intelligence / public-sector AI,AI Engineer - EMEA/LATAM,applied_ai,Full-time Remote Europe/LATAM,,,Ashby,qualified,,2026-07-13,closed,REJECTED 2026-07-17,2026-07-17,,83,Strong,"Rejected by Starbridge hiring team on 2026-07-17 after review: moved forward with candidates whose skillsets more closely align with current needs. Original application was submitted manually on 2026-07-16 after Ashby spam block. Fit remains strong thematically, but outcome suggests current needs likely favored closer GTM/public-sector/domain or specific stack fit. Reapply only to a role needing agent workflows/evals/tool integration explicitly.",cv/main_starbridge_ai_engineer.pdf,documents/batch_ai_platform_application_answers.md,https://jobs.ashbyhq.com/starbridge/80ee1fbc-2de4-4c9a-b62a-be5ae89b0c37
app-20260713-zapier-engineer-applied-ai-69ab8b56,2026-07-13,Zapier,Automation / Applied AI platform,"Engineer, Applied AI",applied_ai,Full-time Remote NAMER/EMEA,,,Ashby,qualified,,2026-07-13,closed,REJECTED 2026-07-20,2026-07-20,,82,Strong,"Rejected by Zapier hiring team on 2026-07-20 for work-authorization/logistics: email says employees must be legally eligible to work in their country of residence and Zapier cannot sponsor work visas or provide immigration support. This is not a core skill-fit rejection. Original fit remains strong for automation, applied AI, agents, workflow tooling, and product engineering. Reapply only if eligibility/immigration constraint is resolved or a contractor/vendor path appears.",cv/main_zapier_applied_ai.pdf,documents/batch_ai_platform_application_answers.md,https://jobs.ashbyhq.com/zapier/38434b88-086c-424b-8d18-8d006e0b71b8/application?employmentType=FullTime
app-20260713-perplexity-member-of-technical-staff-software-engineer-data-flywheel-dc5f6da0,2026-07-13,Perplexity,Frontier AI / answer quality,"Member of Technical Staff (Software Engineer, Data Flywheel)",other,Full-time Hybrid Berlin/Belgrade/London/San Francisco,,,Ashby,rejected,,,prospect,MANUAL APPLY - ASHBY SPAM BLOCKED,2026-07-13,,80,Strong,"Retried 2026-07-21 in Chrome DevTools. Required fields completed: name/email/+372 phone, resume main_perplexity_data_flywheel.pdf, location Berlin Germany, sponsorship Yes, hybrid-working Yes, self-assessment positive verdict link https://www.perplexity.ai/search/acbbea6b-76e5-4866-b7ba-2a5a585e4b61, and recruiting consent checked. Submit returned Ashby alert: ""We couldn't submit your application. Your application submission was flagged as possible spam."" Do not keep retrying automated submits; manual browser completion or recruiter referral is recommended.",cv/main_perplexity_data_flywheel.pdf,documents/perplexity_data_flywheel_application_answers.md,https://jobs.ashbyhq.com/perplexity/7755eb0a-0f51-4286-b75e-591e44c741bc/application
app-20260718-xfigura-full-stack-engineer-c73a080e,2026-07-18,xFigura,AI creative tools / AEC generative design,Full Stack Engineer,other,Full-time Boston preferred or Remote,,,Direct email,qualified,,2026-07-18,submitted,SUBMITTED 2026-07-18,2026-07-18,info@xfigura.ai,84,Strong,"Best target from careers page. Chosen over AI/ML Engineer because Full Stack maps better to current evidence: AI orchestration across 50+ models, collaborative canvas/workflow tooling, agent-driven retrieval, CAD-adjacent integrations, full-stack systems, startup ambiguity, customer workflow translation, and end-to-end production delivery. AI/ML Engineer is a secondary target with gaps in PyTorch, LoRA/adapters, diffusion/multimodal model ownership, and AEC/CAD domain depth. Package prepared for direct email: CV, cover letter, and email body. Honest gap disclosed in cover letter: no direct CAD/BIM work, but adjacent workflow/canvas/integration/product AI experience. User reported application email sent with CV and cover letter on 2026-07-18. Email body saved in documents/xfigura_fullstack_email_body.txt.",cv/main_xfigura_fullstack.pdf,cover_letters/cover_xfigura_fullstack.pdf,https://xfiguracareers.notion.site/Full-Stack-Engineer-3085132adffa81768ba6c58ec222f44a
app-20260719-kyber-founding-engineer-2e1ede4f,2026-07-19,Kyber,Critical infrastructure / aviation AI workforce coordination,Founding Engineer,other,Full-time On-site London,,,Direct email,qualified,,2026-07-19,submitted,SUBMITTED 2026-07-19,2026-07-19,info@joinkyber.com,76,strategic; logistics blocker,"Email sent via Gmail 2026-07-19 to info@joinkyber.com with 1 CV attachment; Gmail Message ID: 19f79d4a747cab1f. Original draft had been created earlier (Draft ID: r224810372558497733). Strong thematic fit: AI workforce coordination, operational data ingestion, conflict/error detection, agent workflows, launch/customer delivery, regulated aviation document automation, security and observability. Role requires London on-site and UK work permit; candidate is Tallinn-based and previously needs UK sponsorship. Email frames relocation/sponsorship honestly and proposes contract/launch-engineering bridge if full-time onsite is not possible.",cv/main_kyber_founding_engineer.pdf,documents/kyber_founding_engineer_email_body.txt,https://joinkyber.com/careers
app-20260719-cohere-forward-deployed-engineer-agentic-platform-uk-europe-c16a3a30,2026-07-19,Cohere,Enterprise AI / agentic platform,"Forward Deployed Engineer, Agentic Platform (UK/Europe)",forward_deployed,Full-time Hybrid/remote-friendly UK-Europe,,,Ashby,qualified,,2026-07-19,submitted,SUBMITTED 2026-07-19,2026-07-19,,86,Strong,"SUBMITTED via Ashby. Strong bullseye: Cohere North agentic platform, enterprise RAG/agents, eval methodology, secure/auditable deployments, customer-facing FDE ownership, regulated-industry exposure, Python/TypeScript/full-stack delivery, and 20-40% customer travel. Form values: name/email, location selected as Tallinn/Harju/Estonia, LinkedIn, resume uploaded, GMT overlap Yes, custom client-facing/agentic-systems answer saved. No work-authorization or sponsorship question was shown. Confirmation page displayed: Success - Your application has been submitted.",cv/main_cohere_fde_agentic_platform.pdf,documents/cohere_fde_agentic_platform_application_answers.md,https://jobs.ashbyhq.com/cohere/2d256112-b336-4539-8133-a0bf7f6698f0
app-20260719-klar-partners-safemind-forward-deployed-ai-engineer-catalyst-team-b6f6c20e,2026-07-19,KLAR Partners / Safemind,PE portfolio / enterprise AI operations,Forward Deployed AI Engineer - Catalyst Team,forward_deployed,Full-time Stockholm/Northern Europe,,,Ponty/Safemind,qualified,,2026-07-19,submitted,SUBMITTED 2026-07-19,2026-07-19,,88,Strong,"SUBMITTED via Ponty/Safemind. Confirmation page displayed: Mottagen - Vi har mottagit din ansökan. Strong match: PE portfolio value creation, short production AI/RAG/agent implementation sprints, Python/backend integrations, messy operator workflows, evals/review queues, and security/auditability. Form values: first/last/email, Estonia +372 phone, LinkedIn URL, current title Founder & Lead Engineer, organization CodesDevs; CV uploaded with file category Resume in english. No free-text or work-auth/sponsorship field was shown.",cv/main_klar_forward_deployed_ai_engineer.pdf,documents/klar_forward_deployed_ai_engineer_application_answers.md,https://www.safemind.se/lediga-jobb/2866-forward-deployed-ai-engineer-catalyst-team/
app-20260719-aion-senior-forward-deployed-ml-engineer-agents-bd380c56,2026-07-19,AION,Enterprise AI platform / multimodal agent infrastructure,"Senior Forward Deployed ML Engineer, Agents",forward_deployed,Full-time Hybrid London,,,Workable,qualified,,2026-07-19,submitted,SUBMITTED - CONFIRMED ON PAGE 2026-08-17,2026-08-17,,100,Strong,"SUBMITTED via Workable in normal Safari on 2026-08-17. Confirmation page displayed ""Your application has been submitted successfully."" and said a copy would be sent to fathindos.fd@gmail.com. Form required first name, last name, email, Estonia +372 phone, and tailored CV cv/main_aion_senior_fde_ml_agents.pdf; no cover letter or custom questions were requested. Cloudflare human verification passed through the normal checkbox. Strong bullseye: end-to-end multimodal agent systems, voice/video/text workflows, customer deployment, Python/TypeScript, evals, observability, latency/cost tracking, and customer-facing startup-CTO ownership.",cv/main_aion_senior_fde_ml_agents.pdf,,https://apply.workable.com/aion/j/84A29655B1/apply/
