feedback_id,application_id,occurred_at,stage,source,evidence_tier,category,signal,evidence_excerpt,required_action,rule_effect,resolves_feedback_id,scope,confidence,source_ref,created_at
fb-09c05a81fc46da936df16e91572e95affeae70d74561f36d0bdf3f86523a4e8e,app-20260701-digital-workforce-senior-ai-agent-developer-0e880ccf,2026-07-25T00:00:00Z,screen,candidate_postmortem,observed,logistics_work_authorization,The Helsinki employment constraint required a concrete Tallinn B2B delivery model.,"The call established that there was no Tallinn entity, so the Helsinki role required a B2B arrangement and a concrete collaboration model in follow-up.",Logistics filters run before drafting and never reduce technical-fit calibration.,activate,,"{""employment_model"":""b2b"",""geography"":""Helsinki/Tallinn"",""stage"":""screen""}",0.9,d6e9a081fdfb77fbf145df63c3e695a488d4e0406d057533df83694555f2d78a,2026-08-24T16:20:19Z
fb-2d5759d4b0d9b8be9c830aeb646d3b3a2abcf96f2ca20a048545593c4b98140f,app-20260720-lovable-software-engineer-security-ai-code-781afa51,2026-07-25T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,2c7d195ffd2c860e3bf9b5b19aec44e6fc8f27bfad0e8440e7e003ca1e556197,2026-08-24T16:20:19Z
fb-dbac62c767f15839734bc59fb69cfd20e77c9b1b1e27db5d7a0e6915f73cac97,app-20260721-moss-senior-platform-engineer-agentic-experience-fc30efe8,2026-07-27T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,f864082c0277180b611d3d14987c3a4a55a9f7781cf31d7a7d6c842ddc434219,2026-08-24T16:20:19Z
fb-c7a36788c61b97c8b14c2f27ed00a4e33f7ebea39945b340e2fe1c7b6add1b38,app-20260723-helsing-staff-software-engineer-5c4ea4b5,2026-07-27T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,fdbbed460db8a7a66ad55cbd99dbf4c0d698a8ed60e2b1101698a29241ff4f4a,2026-08-24T16:20:19Z
fb-cd7764e5d87f970b99c6856ddbdf073b7180c4853020e02d602ca922f54f7b29,app-20260721-seb-eesti-ai-engineering-architect-in-delivery-excellence-e959e0d9,2026-07-28T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,199aeaa0e18e559953e47bc5c98ef9d0ef9886463c24d08ba0d2af677ea289d0,2026-08-24T16:20:19Z
fb-be6abc5cda0c1bb15e6eb4ebe41128a2f0631e8e60d8de7e732a149aaed37ac9,app-20260723-doit-international-applied-ai-engineer-041519af,2026-07-28T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,aa24ec8b199f677efc61b7471d3340d6acb872b36a0c7af54bb5e5417749b1ae,2026-08-24T16:20:19Z
fb-71836268d7a00dd09c430a3575d606415b59feb19a5854479cb56d25b73aeebe,app-20260721-n8n-sr-ai-engineer-remote-europe-ts-vue-nodejs-ee1f167b,2026-07-30T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,dd1189b026ff47eb52f7305c295019577ff9f371d8fc77a268dfc5f907deefb2,2026-08-24T16:20:19Z
fb-f0613ee72bb04db373715a92d639727417aced5da292038f2971b95ea36cf0af,app-20260719-happyrobot-forward-deployed-engineer-singapore-1df60a48,2026-07-31T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,eebaacca0f580f5e9aa908ae3a5bb3ebb88b7cdce74d8b476c6fd905a8511f4e,2026-08-24T16:20:19Z
fb-b4d8a7c6f0348780814976d6c545fd584468de528a6ec7873f4ea26be7f54135,app-20260723-wise-senior-engineering-lead-generative-ai-platform-9b39df55,2026-07-31T00:00:00Z,screen,candidate_postmortem,observed,communication_decision_clarity,A behavioral disagreement answer stayed theoretical instead of giving a concrete result.,"Asked for a specific coaching disagreement, the answer gave a theory of disagreement with no person, situation, action, or outcome.","Behavioral answers name a situation, action, disagreement, and result.",activate,,"{""role_family"":""ai_platform"",""seniority"":""lead"",""stage"":""screen""}",0.95,7c27aaafada4fb68431841888a24ca3355a2df3549f966e9cab56879eae5c102,2026-08-24T16:20:19Z
fb-b77d7758086438745843eaf697bc5da0baf6ad93ec1257c099ac89abda339960,app-20260723-wise-senior-engineering-lead-generative-ai-platform-9b39df55,2026-07-31T00:00:00Z,screen,candidate_postmortem,observed,leadership_people_evidence,"Lead-level scope was not expressed as a clear team, ownership, decision, and outcome.","Asked how big the led team was, the answer ranged across roles and never clearly stated the team size, ownership boundary, decision, and shipped outcome.","Lead-role evidence names team size, ownership boundary, decision, and outcome.",activate,,"{""role_family"":""ai_platform"",""seniority"":""lead"",""stage"":""screen""}",0.95,d5cc5e9602ecf7b0f20c46c106bfc3eb701ef679358c67e4a9be82ba6ac8279d,2026-08-24T16:20:19Z
fb-5dd6e8a16270be994c176879b59038ccf1ba1ad3eb3e52d38df1eadc851f0add,app-20260721-nordea-senior-data-scientist-ai-engineer-generative-ai-1878-16b2ad0e,2026-08-04T00:00:00Z,technical,candidate_postmortem,observed,metric_rigor_provenance,"The headline extraction metric lacked a defensible denominator, unit, and provenance.",The interview repeatedly exposed that the headline extraction metric lacked a defensible denominator; the tracker later corrected the unit and provenance.,"Every headline metric includes denominator, unit of analysis, provenance, and failure-cost interpretation.",activate,,"{""role_family"":""applied_ai"",""stage"":""technical""}",0.95,5a2aa36f4e6b5b4e6ee7797ad57c7116c8bd0a0de1caced3d29ab0b30738b7df,2026-08-24T16:20:19Z
fb-cc9dbb75a856298bfd513fce3d8b0bac2ee7c5a58df9f853137e004a17590ab4,app-20260721-nordea-senior-data-scientist-ai-engineer-generative-ai-1878-16b2ad0e,2026-08-04T00:00:00Z,technical,employer_email,explicit,ml_genai_evaluation,Hands-on machine-learning and GenAI evaluation evidence was less extensive than selected candidates'.,Nordea chose candidates with more extensive hands-on machine-learning and GenAI evaluation or experimentation experience.,ML/GenAI evaluation roles lead with hands-on experimentation and evaluation evidence.,activate,,"{""role_family"":""applied_ai"",""stage"":""technical""}",1.0,5a1ec76aa7b86a9acc97f14a190377bf6c550c9cd0315d51503f40a6b7380632,2026-08-24T16:20:19Z
fb-aa18aa77635f385cf73ffdbba42e1dac42fd8d5500757c8728c57dd8bc133190,app-20260720-tandem-health-ai-engineer-003fbe2a,2026-08-05T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,417cebed467f20d401c4267a8b3b82c13ebd2b2f8f9dc3e2c894bd5b37522175,2026-08-24T16:20:19Z
fb-d73e8571cde22e57a67ee54803cdd7e92621103fd4fc01b68eff7aad9b138cb1,app-20260810-bolt-principal-program-manager-ai-project-charter-b800300d,2026-08-12T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,4e49b190d0bd743a93df2d16dc0c3ae4494ad00cd5eddefd1924668e547dbe68,2026-08-24T16:20:19Z
fb-81773fb30e7792911babce74e1e0e2a82f4191aeb5bffec92af3979de45c31cb,app-20260820-carta-staff-software-engineer-middle-office-c16fb2b1,2026-08-20T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,231c9d39ec5033b986dd07fdbaab0320ca54d95d7867ceec65a45a454ec92df0,2026-08-24T16:20:19Z
fb-641f70926e1b9b623ac6dc7b4944ae4b05e04e7cb0606d544867111b0c61ba34,app-20260719-taktile-senior-forward-deployed-engineer-b405ff5e,2026-08-21T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,58e859c225828633d03f5893b73a088db91ab33c5354ea5fab48f9d94cb29395,2026-08-24T16:20:19Z
fb-bd9ec86ee453b448f5d8fb889c04de5d2ade8e673279ba31b7cd933b91016934,app-20260816-luminor-bank-senior-security-engineer-data-platform-f471118d,2026-08-21T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,aaecd109bd46bbcb4b9b537476b94705ac001e53ceecd8b6f2c07762b575d81f,2026-08-24T16:20:19Z
fb-cd9b93af9bf719baaba85418db29fb988e417288078bf3e4e3e4ce166d98cb45,app-20260820-databricks-field-engineering-enablement-leader-f9541a5b,2026-08-21T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,960be27faa1a5b55a8b0a23c004e658a95504a0e5470c2d44d8b7afb29e6a7a2,2026-08-24T16:20:19Z
fb-6dcefdfe72da12a8cb861f8854508b9ff1dab030d0ea590b030236be56d79e7f,app-20260817-robco-senior-applied-ai-engineer-m-f-d-150554b1,2026-08-24T00:00:00Z,application,tracker_backfill,boilerplate,competition_no_specific_signal,The rejection contained no candidate-specific actionable signal.,"The recorded rejection contains no candidate-specific, actionable feedback.",,monitor,,"{""stage"":""application""}",1.0,cca4cb5696cf22a91dd8727fc2a532110f679dac0b6cb5071813f0f99061c386,2026-08-24T16:20:19Z
